Name ,Ticker,Technology Security,Token Performance,Ecosystem Development,Team Partners Investors,Token Economics,Blockchain Architecture,Roadmap Progress
Kusama,KSM,88.85%,52.73%,39.80%,74.67%,60.00%,88.85%,77.33%
Lido DAO Token,LDO,69.35%,64.80%,52.65%,84.00%,60.33%,69.35%,92.00%
Chainlink,LINK,99.60%,63.40%,62.50%,98.00%,40.00%,99.60%,84.67%
Livepeer,LPT,70.80%,61.33%,43.90%,77.00%,57.00%,70.80%,60.67%
Liquity,LQTY,71.85%,55.80%,45.70%,66.73%,57.27%,71.85%,56.67%
Loopring,LRC,69.25%,58.87%,42.55%,55.00%,61.13%,69.25%,87.33%
Lisk,LSK,74.30%,44.80%,16.25%,50.20%,43.33%,74.30%,56.00%
Litecoin,LTC,67.90%,61.33%,15.35%,72.00%,77.53%,67.90%,55.33%
Terra,LUNA,31.15%,63.67%,43.30%,24.00%,21.93%,31.15%,12.00%
Decentraland,MANA,88.90%,64.40%,38.55%,56.00%,67.20%,88.90%,65.67%
MASK Network,MASK,81.35%,66.13%,42.95%,37.33%,51.80%,81.35%,51.33%
Polygon,MATIC,68.60%,64.07%,57.15%,82.67%,74.00%,68.60%,73.33%
Merit Circle,MC,68.15%,39.07%,46.40%,29.33%,62.67%,68.15%,71.33%
Mina Protocol,MINA,57.30%,63.47%,41.50%,89.33%,70.53%,57.30%,79.33%
IOTA,MIOTA,63.40%,55.93%,57.75%,70.67%,48.00%,63.40%,69.33%
MakerDAO,MKR,74.00%,65.20%,55.45%,94.67%,44.00%,74.00%,78.67%
Nano,NANO,68.05%,39.93%,50.60%,61.33%,81.00%,68.05%,67.00%
Near Protocol,NEAR,83.30%,53.73%,55.35%,89.67%,64.67%,83.30%,78.00%
NEO,NEO,72.90%,54.20%,43.25%,81.33%,56.00%,72.90%,58.67%
Nexo,NEXO,60.00%,48.20%,47.30%,54.33%,63.93%,60.00%,46.33%
Numerai,NMR,69.95%,50.13%,17.50%,66.33%,64.20%,69.95%,25.00%
Ocean Protocol,OCEAN,75.50%,62.53%,51.70%,55.67%,73.00%,75.50%,65.00%
OKB,OKB,76.50%,61.60%,68.15%,66.33%,57.07%,76.50%,88.00%
Harmony,ONE,59.90%,49.00%,55.00%,82.67%,61.13%,59.90%,88.33%
Ontology,ONT,70.80%,52.00%,47.55%,79.33%,71.47%,70.80%,78.00%
Optimism,OPT,57.75%,68.00%,38.80%,85.87%,70.73%,57.75%,80.00%
Orbs Network,ORBS,53.95%,52.93%,31.75%,46.00%,49.13%,53.95%,39.33%
Osmosis,OSMO,45.55%,51.00%,58.80%,70.00%,47.40%,45.55%,79.33%
Pendle,PENDLE,73.85%,75.93%,48.80%,77.67%,56.40%,73.85%,57.00%
PlayDapp,PLA,68.20%,39.80%,30.30%,41.33%,15.80%,68.20%,57.33%
Polymesh,POLY,65.60%,52.00%,35.10%,61.67%,33.80%,65.60%,53.67%
Pundi X,PUNDIX,69.50%,43.13%,47.35%,71.33%,51.13%,69.50%,80.33%
Quant,QNT,59.45%,54.73%,20.55%,79.53%,54.67%,59.45%,72.33%
Qtum,QTUM,74.60%,52.20%,38.00%,78.67%,69.53%,74.60%,58.67%
Radiant Capital,RC,50.00%,69.47%,33.25%,38.00%,79.93%,50.00%,69.67%
RSK Infrastructure Framework,RIF,47.45%,47.47%,22.95%,76.53%,63.33%,47.45%,57.67%
iExec,RLC,66.60%,45.33%,33.10%,48.67%,48.73%,66.60%,54.67%
Render Network,RNDR,67.00%,62.07%,26.80%,76.33%,64.13%,67.00%,77.20%
Oasis Network,ROSE,67.25%,64.00%,58.25%,54.67%,55.33%,67.25%,51.67%
Rocket Pool,RPL,67.95%,49.60%,44.85%,52.00%,59.07%,67.95%,59.33%
Reserve Rights,RSR,58.15%,59.00%,34.85%,75.33%,67.20%,58.15%,60.67%
Thorchain,RUNE,62.45%,62.47%,47.05%,82.67%,68.53%,62.45%,44.00%
Ravencoin,RVN,62.15%,54.93%,31.80%,54.00%,69.33%,62.15%,46.67%
The Sandbox,SAND,78.60%,71.87%,59.00%,74.00%,66.67%,78.60%,71.20%
SEI Network,SEI,53.00%,61.87%,47.35%,57.00%,68.00%,53.00%,65.67%
SafePal,SFP,62.60%,46.53%,60.05%,51.33%,73.87%,62.60%,74.00%
Skale Network,SKL,73.15%,57.07%,49.75%,75.00%,68.93%,73.15%,75.33%
Status,SNT,81.45%,45.40%,33.50%,66.00%,59.07%,81.45%,35.33%
Synthetix Network Token,SNX,72.30%,60.87%,33.10%,85.33%,54.93%,72.30%,97.00%
Solana,SOL,59.50%,61.27%,54.10%,60.00%,65.00%,59.50%,79.33%
SSV Network,SSV,51.85%,69.00%,51.85%,60.00%,39.80%,51.85%,63.67%
Steem,STEEM,64.35%,41.07%,27.20%,52.00%,66.67%,64.35%,41.33%
Stargate Finance,STG,74.85%,68.00%,37.80%,65.00%,80.13%,74.85%,37.33%
Stacks,STX,71.70%,64.27%,53.70%,85.00%,60.53%,71.70%,76.00%
SUI,SUI,64.45%,65.33%,45.70%,69.00%,60.87%,64.45%,59.00%
SushiSwap,SUSHI,73.80%,64.73%,59.60%,57.33%,31.80%,73.80%,72.33%
Theta Fuel,TFUEL,67.40%,41.67%,34.90%,72.00%,60.00%,67.40%,88.67%
Theta,THETA,67.40%,49.80%,34.90%,72.00%,44.67%,67.40%,88.67%
The Open Network,TON,72.45%,56.53%,47.45%,78.67%,43.33%,72.45%,76.60%
Tellor,TRB,78.50%,71.93%,28.20%,57.00%,59.73%,78.50%,41.00%
Tron,TRX,63.80%,62.53%,67.85%,63.67%,54.33%,63.80%,60.00%
Trust Wallet Token,TWT,84.75%,50.47%,63.95%,68.73%,82.00%,84.75%,62.67%
UMA,UMA,84.25%,57.60%,42.80%,37.67%,50.13%,84.25%,54.33%
Uniswap,UNI,100.00%,62.60%,64.90%,94.67%,55.27%,100.00%,72.00%
VeChain,VET,59.85%,52.60%,47.65%,76.67%,78.60%,59.85%,79.67%
Waves,WAVES,64.55%,57.93%,38.15%,49.00%,56.33%,64.55%,81.67%
WAX,WAXP,68.25%,50.27%,58.65%,80.33%,50.67%,68.25%,62.93%
Whitebit Token,WBTC,65.95%,36.47%,45.45%,39.33%,58.33%,65.95%,58.00%
WEMIX Token,WEMIX,28.10%,49.00%,32.40%,61.53%,65.47%,28.10%,61.33%
Woo Network,WOO,69.35%,59.93%,24.10%,91.67%,64.73%,69.35%,71.33%
Chia Network,XCH,81.45%,50.60%,36.25%,69.33%,62.00%,81.45%,77.33%
XDC Network,XDC,55.50%,42.07%,44.30%,44.67%,36.00%,55.50%,86.53%
eCash,XEC,68.05%,52.47%,49.15%,46.00%,40.00%,68.05%,78.67%
NEM,XEM,56.40%,47.00%,18.05%,39.00%,46.00%,56.40%,46.67%
Stellar,XLM,79.85%,59.13%,44.35%,87.00%,50.67%,79.85%,59.00%
Monero,XMR,62.15%,60.13%,29.25%,77.67%,89.33%,62.15%,78.00%
Ripple,XRP,83.75%,63.80%,53.35%,90.67%,50.67%,83.75%,72.00%
Tezos,XTZ,73.75%,60.20%,45.50%,66.00%,80.00%,73.75%,43.00%
Venus,XVS,45.40%,48.00%,25.50%,38.67%,92.00%,45.40%,42.33%
Yearn Finance,YFI,73.75%,61.53%,38.10%,61.33%,67.20%,73.75%,85.53%
Zcash,ZEC,70.65%,61.60%,29.50%,78.67%,60.93%,70.65%,79.33%
Horizen,ZEN,69.35%,57.73%,41.75%,70.67%,61.33%,69.35%,74.67%
Zilliqa,ZIL,81.40%,53.33%,59.00%,77.67%,64.67%,81.40%,69.67%
0x,ZRX,80.35%,65.87%,51.45%,88.67%,64.20%,80.35%,70.33%
